"D11","D22","D33"
1.501989469,0.079074752,0.060789547
3.35297169,0.18129872,0.09952014
2.149478456,0.099575644,0.110471952
2.641991435,0.155985477,0.08834935
2.217400457,0.124775325,0.044749236
2.0998478,0.09943025,0.16133273
1.835444207,0.124174405,0.097822848
1.346738334,0.092276271,0.125207416
1.73958103,0.03409156,0.1179799
1.18371506,0.07586802,0.11875217
2.022527393,0.083543528,0.082768728
1.28444841,0.10413926,0.05406477
2.050080169,0.081283443,0.063265413
2.56348188,0.079345229,0.047823006
1.915121412,0.093545771,0.093686817
2.11372705,0.08472709,0.154726958
2.20282087,0.09654557,0.05839305
1.218483002,0.117830352,0.112952617
1.236714175,0.104246058,0.03729483
1.502942793,0.069440405,0.111662794
1.924342461,0.062797447,0.100262135
1.895577163,0.047915565,0.098600609
2.076033005,0.028715973,0.02854774
0.993084763,0.116275706,0.076297049
2.236257281,0.153679169,0.126800007
1.912979867,0.047479993,0.047310265
2.16327824,0.05830513,0.13634092
2.77569195,0.06714409,0.05368777
1.33059952,0.05262818,0.05435924
1.69398881,0.06731782,0.1368522
1.681817409,0.088820141,0.111122222
4.10883648,0.03466857,0.09160217
2.43962086,0.078102233,0.11147629
1.81106028,0.06136726,0.10803422
3.454591509,0.161252726,0.055097611
2.03538859,0.01479925,0.06488446
1.44085475,0.08920214,0.044491
2.040994043,0.083108883,0.088342394
2.096799382,0.216461133,0.06800307
1.798425929,0.091439042,0.082346051
1.34141968,0.03267077,0.09436303
2.63089427,0.1815624,0.12847616
2.578460334,0.144251734,0.084732072
2.89300657,0.1126778,0.09677345
1.98890819,0.12100786,0.12126409
2.21499135,0.150633146,0.106778532
2.17885096,0.120081229,0.070517173
2.313220079,0.115596484,0.091018374
2.117442229,0.15280638,0.046927929
2.004009819,0.099943933,0.037519942
1.63028836,0.10259286,0.04971303
0.9934734,0.0538851,0.07846153
1.49845409,0.07857419,0.14760333
1.03095994,0.09057227,0.07483205
1.52437921,0.08107042,0.09533552
1.89986143,0.11968954,0.08949439
2.60561637,0.12698178,0.06458445
2.393915862,0.049655706,0.056719659
1.191485112,0.09570976,0.265576482
1.32953648,0.1402479,0.0301818
1.39408615,0.13319311,0.07096378
1.67501694,0.0967296,0.14143911
3.28123911,0.04541631,0.04800372
0.952013979,0.145472481,0.046833174
1.769749102,0.159863734,0.060541535
2.83736041,0.08221992,0.08662604
3.035165279,0.093994558,0.096530893
2.403829168,0.047364579,0.08817433
2.4222078,0.08544172,0.08151527
2.187807422,0.086233092,0.108582142
2.495452525,0.114017703,0.121852994
1.87631749,0.14817551,0.12849502
2.02003533,0.06592997,0.0746578
1.383165419,0.042168702,0.154857863
1.43669289,0.06095572,0.1037833
1.967552138,0.1574034,0.163242853
2.13286901,0.098375598,0.082344286
2.030880232,0.083850638,0.162414042
0.918745403,0.090907247,0.132603484
1.688252355,0.067060549,0.057532281
2.003667265,0.097611553,0.039908875
2.25571793,0.07660616,0.1366444
1.6407552,0.16827678,0.09550468
1.88560275,0.07319345,0.06173119
1.510323286,0.077106605,0.047764398
1.29756772,0.02844058,0.0672168
1.27470262,0.01660004,0.07269773
2.91342295,0.04656694,0.03568916
2.244283831,0.040321132,0.145478856
1.4485583,0.1244967,0.1064521
1.971131415,0.057326727,0.075603359
3.790267498,0.138584194,0.08721033
3.033122761,0.078895689,0.063810146
1.537186561,0.089562062,0.081624012
1.251083,0.1684873,1.023431e-08
1.466121054,0.071857806,0.061757928
1.841779725,0.166179881,0.076487067
1.70572898,0.12404758,0.04186213
2.59300008,0.13196111,0.11114176
2.681842448,0.172416799,0.109135634
2.327582932,0.091639115,0.129855007
1.64086021,0.09396068,0.14508777
1.92301715,0.07985252,0.10834992
2.22697864,0.12631257,0.06291769
2.01772754,0.08413265,0.08349503
2.954173674,0.08987734,0.080363818
1.465629191,0.095469355,0.062114894
2.01819091,0.09715109,0.14057722
2.27498753,0.11761913,0.11210569
1.26828316,0.10902578,0.12084349
1.96116801,0.14439318,0.14399925
1.431316899,0.111327711,0.116196138
1.68298282,0.09224168,0.085946
1.79399324,0.09161514,0.13939716
1.066277564,0.073154937,0.035257786
1.093052233,0.113506784,0.123448752
2.42380377,0.11707138,0.04344359
2.21364778,0.15388497,0.09673719
1.29470042,0.05521892,0.06886459
2.776364439,0.179358941,0.016664782
2.67265724,0.05613728,0.02122208
2.34634929,0.04589828,0.04392115
2.408580945,0.16036677,0.110544416
1.35559962,0.0786024,0.12438702
1.88830789,0.16450491,0.0684835
1.858166579,0.071046034,0.138901289
2.558554397,0.076547931,0.05841531
2.3514642,0.08512035,0.0989734
1.344898588,0.047975243,0.090761
2.549733689,0.133954509,0.14326037
1.034448532,0.086588989,0.032197073
2.19281491,0.12775903,0.07220708
1.3849988,0.1108645,0.2031524
1.69668317,0.12269063,0.08797957
1.84812907,0.08174304,0.0473857
2.12449958,0.07260427,0.08936098
1.75735292,0.08351737,0.09688246
0.94985417,0.03794116,0.091461
1.96411534,0.04883454,0.08297199
1.827514453,0.178014771,0.104470782
1.532556234,0.069518504,0.076880008
1.445496382,0.045517888,0.096622804
2.344060616,0.036071792,0.097660213
1.97519951,0.06265269,0.07063619
1.98256257,0.07249166,0.05257292
1.500289276,0.085214506,0.07212557
1.332649488,0.078739258,0.093333181
2.37089526,0.0176605,0.10627784
1.48441603,0.08563253,0.20364494
1.86367329,0.06897937,0.18482913
1.40071043,0.0999131,0.05148419
1.93048334,0.085524719,0.05058965
1.228508373,0.070306279,0.138457449
1.58682865,0.112469248,0.150171426
2.86420197,0.08573949,0.11414287
1.55495084,0.07076497,0.13529438
1.83677072,0.06159025,0.05843039
2.00834681,0.06123648,0.13024181
1.812025882,0.007168086,0.015272878
1.360838648,0.091835469,0.099132816
2.557961097,0.153772464,0.17097148
0.80924104,0.06760167,0.06234788
1.535032418,0.1019544,0.043423862
1.04793493,0.05697276,0.04989896
2.303613322,0.097268553,0.124793092
1.95687945,0.07716123,0.09158195
2.56927789,0.09006638,0.03869004
3.149378939,0.048916668,0.11573968
1.150636627,0.107294293,0.113088182
1.71177127,0.05601542,0.11244426
3.20461675,0.19870831,0.05635455
1.79189812,0.05402279,0.05720545
1.32962464,0.02721771,0.02087664
3.12346339,0.17370847,0.12739074
1.663444492,0.154997992,0.102106383
2.161256869,0.105694736,0.056444084
1.32362925,0.07542989,0.01334342
0.89833522,0.13048722,0.0715068
0.79630757,0.12640753,0.01641169
2.39782087,0.06719214,0.07517694
1.789874535,0.07147967,0.097942278
