"alpha0","alpha1"
NA,NA
NA,NA
9.74274217356927,-2.31803508087673
6.90728083645111,-1.81298547358289
NA,NA
8.86898775618177,-2.21334350757432
NA,NA
7.49065481609816,-1.80175406870439
NA,NA
NA,NA
7.31174630867002,-1.85650803368687
NA,NA
7.91304404771832,-1.80959315184843
9.10517435833978,-2.25849748642177
8.73041730732657,-2.21889646634374
7.06022793027524,-1.72662849398431
7.18778177489428,-1.74104225487913
9.45859815743456,-2.36549109547419
NA,NA
NA,NA
NA,NA
8.52105510784223,-2.08528531191308
7.90082775070783,-1.96784744024579
NA,NA
8.43274194763,-2.08441313864026
9.81137540437406,-2.44681062885343
NA,NA
7.45135202197132,-1.66585657545915
8.13388286020449,-2.03425435779992
7.97622075110309,-2.06944733572114
NA,NA
7.8380802458329,-1.88363867219041
NA,NA
8.21195430732622,-1.98605486889081
NA,NA
NA,NA
NA,NA
6.50303230539529,-1.66805347373284
NA,NA
8.33376509445138,-2.0276724414382
6.53868024404441,-1.64273761743235
7.2437205046267,-1.78702879044424
6.83791155176729,-1.75235378147373
7.83801519946632,-1.9285275099169
NA,NA
7.26027823049824,-1.81108017932813
NA,NA
6.25807445940926,-1.6207093267521
NA,NA
NA,NA
7.48551222880422,-1.8529351165446
7.19017995035622,-1.83752967784958
NA,NA
7.57026883004018,-1.78972724343827
NA,NA
NA,NA
6.68113952211933,-1.68315763703595
30.2577663510126,-7.6495709650996
NA,NA
8.05273705300363,-2.00184976362414
NA,NA
40.3851195848857,-10.681262586063
7.85491879810305,-1.98115493561982
NA,NA
8.13657654098784,-1.99910499839854
6.36876445323792,-1.62841418303729
7.98465236731348,-1.86573523477051
NA,NA
8.07593589968776,-2.15012317183733
7.34712219182086,-1.68980159208201
NA,NA
NA,NA
6.63872534350697,-1.74620616002573
NA,NA
6.73137607946672,-1.72819803029225
45.0309357940555,-11.8397471078335
6.88795160312338,-1.67867720607041
NA,NA
NA,NA
6.82980149193547,-1.67749268582764
NA,NA
7.10108475119047,-1.67311387704103
NA,NA
NA,NA
NA,NA
6.7639094592462,-1.70471385565534
9.44950866798371,-2.29043108152913
NA,NA
NA,NA
7.77830719385853,-1.9729344543156
8.09897203920492,-2.00779190685232
NA,NA
NA,NA
7.05064631752544,-1.76574062479012
8.89885064977079,-2.2469489985342
NA,NA
NA,NA
NA,NA
7.11477526004189,-1.94474338138147
NA,NA
NA,NA
NA,NA
NA,NA
7.24088914817336,-1.77593638855701
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
7.95566247530681,-2.00029838679168
6.08141221294945,-1.58244867704227
NA,NA
NA,NA
NA,NA
7.84112236822642,-1.99945301534186
NA,NA
6.75217943364327,-1.71492292874941
NA,NA
NA,NA
8.07784278291626,-2.13930649516683
NA,NA
NA,NA
7.11337196481341,-1.8481031631756
NA,NA
8.87912470919411,-2.27455698520646
7.98769299291154,-2.03903826913448
8.2439354906101,-2.07742667890999
NA,NA
NA,NA
8.35384868771381,-2.11916729856224
NA,NA
NA,NA
7.4510918021179,-1.75755942676747
6.62323496356029,-1.51722455971694
NA,NA
NA,NA
7.22177649049899,-1.76991863655385
7.29362540923514,-1.7845423330095
NA,NA
7.09330027938342,-1.75289695087221
7.73671662822258,-1.86961420966963
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
7.7295613706111,-1.76959635321171
NA,NA
6.76231197373079,-1.70403431822547
NA,NA
NA,NA
8.55116438783413,-2.05261331179962
7.8272150219991,-1.88260550971738
7.43565038098424,-1.85437627667574
8.05173975173848,-2.09080350146603
NA,NA
8.82975918599441,-2.17925347872199
NA,NA
NA,NA
7.6953279883988,-1.91507692446154
7.32957211264964,-1.94567959264176
NA,NA
NA,NA
7.46819358234752,-1.84375889895786
NA,NA
8.10116892448518,-1.99385113730353
8.28049678769052,-2.03361316985901
46.4975428712153,-12.2321954414976
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
7.63679351937286,-1.87129742048523
NA,NA
NA,NA
NA,NA
NA,NA
8.18489630521821,-1.97023366972995
8.75401232717153,-2.14309446732382
NA,NA
6.87475284387079,-1.74518098433943
NA,NA
7.9113061848501,-1.96636471566703
NA,NA
NA,NA
6.4988955320754,-1.6116459344515
NA,NA
NA,NA
6.87391424448479,-1.77773328785452
NA,NA
7.4187996427186,-1.7836249145089
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
8.50846370931896,-2.22123345638692
NA,NA
7.55663205032417,-1.98643773963888
7.56980726876188,-1.9377110338328
7.8504908192613,-1.98392724335458
45.4581444253795,-11.9092318756288
NA,NA
7.69479098231642,-1.81259870374786
7.70772081507549,-2.10986666825318
NA,NA
7.45873027614859,-1.80168451017518
NA,NA
NA,NA
NA,NA
7.21383637175429,-1.83252204217352
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
6.73665694906889,-1.58444521228235
7.62010224453049,-1.93235117176343
NA,NA
NA,NA
NA,NA
7.22833111578562,-1.84468238843711
NA,NA
7.67756266467011,-1.92813007714234
7.9649126725297,-1.96681895427119
NA,NA
8.51877796474488,-1.97112291251279
7.85981708726173,-1.9243058718229
7.71451212129987,-1.91281875981021
7.51805122567335,-1.87439370899159
NA,NA
NA,NA
NA,NA
NA,NA
8.04895704758538,-2.13406743130362
7.33225785118218,-1.72854176164258
8.7294533735423,-2.27924436752376
6.78324546252639,-1.70176688809709
8.14165602665561,-2.17179199431043
NA,NA
NA,NA
6.71240601641315,-1.73239199980499
NA,NA
9.45893505803775,-2.37685283918172
NA,NA
NA,NA
7.29477408944938,-1.69798629175413
6.61646864528514,-1.6546341268516
NA,NA
NA,NA
7.98933808075231,-2.07339605981457
NA,NA
NA,NA
7.9054481327711,-1.88044557816655
43.6217563792056,-11.5135936921916
6.70643581797394,-1.71280687370311
8.57718905903322,-2.07965784838633
NA,NA
NA,NA
NA,NA
6.60392592489189,-1.69884897410409
32.5944444321223,-8.65282337797744
NA,NA
7.35150879679431,-1.82008984686401
8.02398666693645,-1.99164351314563
7.68445523196387,-1.9826391854707
7.49149984374213,-1.90254609912957
NA,NA
NA,NA
NA,NA
