"alpha0","alpha1"
7.41566133018343,-1.75037843638529
7.58988680761983,-1.98918530538362
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
7.2648639986583,-1.79188291182155
6.57280501762341,-1.52650430731004
NA,NA
7.14843648444002,-1.8045659600393
NA,NA
7.92757330443369,-1.97690987656706
7.26925805569745,-1.92088144371375
NA,NA
NA,NA
7.1812040773842,-1.73059925814654
45.994626284351,-12.1606963236937
7.70848838407683,-1.9070625158547
NA,NA
7.4432632433978,-1.95800499386438
9.40240549457047,-2.28849267395673
NA,NA
NA,NA
7.96732951073597,-2.03138333416881
7.18071102502692,-1.71291394136109
7.76874742934167,-1.88794797138444
46.9903032031705,-12.2318515276128
NA,NA
7.98689901438083,-2.33821026452921
NA,NA
49.3725598648582,-13.0073964663227
7.25678032986826,-1.71261222793014
8.82381331681301,-2.22276735080369
7.59091827890782,-1.89520402582897
NA,NA
NA,NA
NA,NA
44.2178790014362,-11.5810545984586
65.0243548437833,-17.1091270867067
NA,NA
7.90981482343021,-1.89565603934811
7.50366483783714,-2.011281166733
8.5639587394264,-2.14005960384182
48.8220894321596,-12.9231676657469
9.42784797100901,-2.48824093875495
44.6990685032169,-11.8080425692441
NA,NA
8.47272203233473,-2.21184172847153
NA,NA
8.60260123682172,-2.02992187136649
8.67978536655853,-2.02104167093946
NA,NA
9.32838358979985,-2.06282874795254
9.49912872101215,-2.95999785373506
9.67337005207193,-2.56028941608804
9.08586609853929,-1.94856714385927
7.43909871308292,-1.88841554202218
NA,NA
NA,NA
8.53433788048349,-2.0448564194359
7.92154086848038,-1.98672270058611
7.39549322415854,-1.85785540096795
38.7912125755576,-10.2691515790717
NA,NA
7.9323439256797,-1.78090625886791
9.15116894113174,-2.04813692549303
48.6396618074292,-12.7409194033803
7.3724217997637,-1.95759920297867
6.64992244822859,-1.60132807498719
43.0999102492382,-11.3593386034887
7.57839236201653,-1.90506111086262
NA,NA
NA,NA
NA,NA
7.38437213282939,-1.75216480379875
NA,NA
NA,NA
NA,NA
7.47370410769944,-1.62203278601189
NA,NA
9.10626096199044,-2.33011882820612
8.20797593649353,-1.88414584749468
8.93521287551489,-2.42018295437704
8.50648182016205,-1.97807391997496
9.42671533794493,-2.4341195451338
7.13990142595782,-1.86900028565461
NA,NA
33.1864006074125,-8.84610436698569
7.80742708065517,-1.89781150583126
NA,NA
NA,NA
9.28425374589139,-2.38258932644146
NA,NA
6.54825879074757,-1.57572344451727
8.70819681583696,-2.47025273838079
49.4815922998519,-13.0253791607326
7.38763291431495,-1.89103392413015
NA,NA
6.97299803121484,-1.52612540167678
54.0972335502439,-14.1481453317105
NA,NA
NA,NA
NA,NA
6.77861426520747,-1.76731189668165
8.14373103517146,-2.20830033172861
NA,NA
8.75698165982929,-2.21830718571374
NA,NA
7.76230616002071,-1.87211780200694
8.89814561420998,-2.68350527788596
NA,NA
NA,NA
8.76759666985064,-2.16241693673599
7.6474721395338,-1.86299972270605
43.6032890737303,-11.4817134701742
36.1077256081327,-9.67484612629232
6.87458189044304,-1.74018260719515
42.2038804527,-11.0571702353956
NA,NA
10.214408244428,-2.88675729869924
53.1481800948798,-14.0086279191017
NA,NA
7.02107147557288,-1.81997637493447
9.37614870543181,-2.21964674611189
NA,NA
7.10050471460161,-2.14187703869704
NA,NA
8.62713225163656,-2.16437268764946
50.6177211781138,-13.2551183562562
7.65355322706513,-2.07625038437616
47.6261845845018,-12.7111120337818
5.90388452049317,-1.64551019544505
8.33331554491519,-2.12357246147326
6.86479767306332,-1.69228193724406
6.9629175570858,-1.71033518692429
9.60651564301102,-2.11995606989244
NA,NA
10.1578455500616,-2.35908781604314
44.4743877326822,-11.560699236271
45.8935703183573,-12.0247378238937
40.3560362588353,-10.6804331676205
8.38252670080244,-2.27933428374052
7.70022451728805,-1.74609462522052
7.56217573243922,-2.04513209606251
7.95596266730046,-1.69968351365421
7.11176634190726,-1.90148788687466
42.1729493686678,-11.1517602705639
NA,NA
NA,NA
NA,NA
45.389412798746,-11.93984835905
7.70381042630932,-2.14007601931334
38.0891807170912,-10.0414251397302
7.76107164735936,-1.84908298202773
8.81173931064993,-2.10356080072051
6.52351614587407,-1.72882415845621
NA,NA
48.7858001835293,-12.9432630854922
10.1026121767457,-2.95564635905029
8.28265192382707,-1.91380956867794
NA,NA
6.94697440387971,-1.69340996715549
41.7523265797378,-11.0206084415167
8.91511013921118,-2.31720619943551
8.05678962008543,-1.79686023118054
6.97026996518566,-1.70419107009358
NA,NA
8.13212054139634,-2.13264059497018
7.26597463467678,-1.82018954878007
42.0101953491159,-11.2851817505217
7.5926916381174,-2.07364282479055
7.42615456732657,-1.80235116934393
NA,NA
NA,NA
48.5744452836547,-12.7415952416762
NA,NA
49.037113056821,-12.9008133351095
NA,NA
40.1495852712319,-10.595354345312
NA,NA
6.81448630097345,-1.92621727024656
7.07604682480682,-1.79076202672352
41.8302363117086,-10.8975494672982
NA,NA
42.5652037573659,-11.2531971644205
NA,NA
55.0602369407464,-14.5182618511715
6.95003003446798,-1.71273472703851
9.52945321670637,-2.30395734083663
6.74016110047798,-1.8766230311302
6.74984873154949,-1.65505923631684
8.41801666480137,-2.28125262381027
8.52146133726776,-1.9490232674897
49.424536756483,-13.1395167510151
6.16846680827863,-1.71863075658856
52.4171723270348,-13.7627212437878
47.5321356584041,-12.5133135425292
30.8195150520187,-8.23970319118816
NA,NA
8.75137263305955,-2.18236671686429
42.1852259860823,-11.1462418200799
6.11533110821346,-1.42720367853015
8.10018414424599,-2.03442946065961
8.288651036967,-1.82881885452063
7.2813431449636,-1.51678248086059
8.10881564919429,-2.11053301435008
52.2727546165366,-13.7279375895205
NA,NA
NA,NA
NA,NA
10.8699227834734,-2.7299146352091
52.2788861566143,-13.7545309992853
NA,NA
56.5103730086283,-14.8844940274002
46.9945530969671,-12.4523907416164
NA,NA
8.65294694205018,-2.59041247882733
6.80039217268732,-1.5640663798787
NA,NA
7.77655326569996,-1.9847457017981
8.06373312937029,-2.00882488799935
12.0013872118045,-2.99618912626877
47.4093663509113,-12.4560166120831
8.40530090352031,-1.71811314796466
NA,NA
40.2910939601608,-10.6808382994696
10.2430656227649,-2.68033922641727
5.55118212085711,-1.37304682161243
NA,NA
NA,NA
8.73193717164291,-2.19740739267421
6.71567124930134,-1.80183071248556
6.09323148844608,-1.5788481372065
40.4150655696242,-10.5597263905511
33.0944801408955,-8.70325382707567
8.41241914397132,-2.21119942716128
8.01390900701756,-2.18405413208902
42.2701467600296,-11.1660404127585
6.81062278559553,-1.61955845740433
NA,NA
7.42695948520169,-1.75599162316455
50.6598040811511,-13.3413203745477
38.5249108328959,-10.239726266425
7.66085495093822,-1.83424103144018
9.11341154247912,-2.19163388781576
7.96018300194127,-1.70765903898398
47.8148520152101,-12.6138416791002
6.51481491415958,-1.67888788055457
6.82545146151504,-1.66706298328054
33.8522881244103,-9.03319126670892
7.80582185179852,-1.9147024627359
NA,NA
NA,NA
NA,NA
6.72653943750233,-1.6891243115943
8.00468869495426,-1.79433383065421
8.24711554245738,-2.07540003534163
43.7244292185453,-11.509531100082
48.6566732840238,-12.8425847546248
6.92534982330865,-1.93941711440857
NA,NA
45.38612543392,-11.9272346810289
7.49565052806084,-1.79844059350248
6.60470893147458,-1.91476987936187
48.1215793975623,-12.6526026762409
7.13588992884163,-1.87372388201017
41.1113191882665,-10.7129652730883
7.15202691382674,-1.68705597176284
41.0728543838415,-10.7721384927416
6.63730816662475,-1.6619676918083
41.8291730910958,-11.136758339201
NA,NA
7.2677658825241,-1.67338217692989
NA,NA
6.50338478194293,-1.4308546839717
7.26727919435358,-1.82548016046628
7.70586469851093,-1.88433928683323
53.7051048326256,-14.3468583465045
NA,NA
7.21059432258905,-1.79587188865908
NA,NA
6.58023435794752,-1.70835314921189
8.34576248904676,-1.85782105684265
NA,NA
NA,NA
7.40719437285601,-1.80079756437169
7.5688618225299,-1.97357932690331
6.84453941062396,-1.99259105006215
39.3147910797657,-10.5171004356468
NA,NA
NA,NA
46.8549515944026,-12.4249025941578
NA,NA
8.24281192039186,-1.85116105272704
7.81775995191382,-2.08597361674541
9.73099267590915,-2.36620337815225
NA,NA
7.49705973635884,-2.04254668228621
NA,NA
NA,NA
51.0773999235111,-13.4303100516037
6.30944468749423,-1.46998348513132
7.87661917687527,-1.95621267316827
6.83336346700543,-1.55630482080364
7.12929028720125,-1.68620686178421
NA,NA
NA,NA
43.4717037380087,-11.4080275697388
44.2591353695214,-11.7522125775572
7.37615689392736,-1.79687517535005
NA,NA
NA,NA
10.1757709832282,-2.60148799092878
NA,NA
NA,NA
45.8422834670814,-12.0612956136839
46.4214995712491,-12.2322216856433
NA,NA
8.14375663571241,-2.09781588645196
8.53698045059822,-1.9915390705261
NA,NA
8.94580823935322,-1.9861246141942
7.41950448336825,-1.94128206455281
40.6005983695404,-10.691341119795
NA,NA
NA,NA
7.74167274510387,-2.11298599400714
7.61792597238387,-1.82326097691775
9.53631767624412,-2.3565794103433
8.77822907024893,-2.05923806027603
39.3605603657948,-10.491667287402
NA,NA
6.99570731317447,-1.68265086846358
10.8080901418408,-2.82070835085634
6.05984986835517,-1.40736112257114
41.3789186295115,-10.9002133676048
41.6634795249928,-11.1144253163845
NA,NA
NA,NA
8.89141640542521,-2.18419170433558
9.30941440674145,-2.33578230742869
41.0680709653532,-10.6931142509135
NA,NA
7.07554731804568,-1.68948795584428
7.21011753118985,-1.70584448286019
7.54839885369663,-1.55939570127783
