"beta1","beta2","beta3","beta4","beta5","warning"
4.121856124998,5.70685245556096,2.11511763212553,1.87264783614841,0.398783269627514,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.98307487691857,5.65714112814878,2.06929911686846,1.88229240296989,0.404917895128731,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.05875827581315,5.66277153564125,2.08699244270344,1.86057247448221,0.382523647641051,NA
3.88833908936095,5.72996126234164,2.07424518855774,1.87142157016556,0.365416127999463,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
4.09927833974529,5.73936627217893,2.08688371483282,1.9270547553921,0.429006782245129,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.94567839294264,5.76127188069147,2.11243368142386,1.89901723244667,0.375767170846119,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.02470708873256,5.72161146099566,2.11613689866513,1.89275295408851,0.381206851164524,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.10640839231466,5.6118206756714,1.98297444868946,1.85817518397639,0.367444495993355,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.02129484991209,5.75205038985013,2.11591730903088,1.95166103672196,0.455504643527655,NA
NA,NA,NA,NA,NA,NA
4.02647578190728,5.73041032974184,2.14688651869436,1.84068163904443,0.368503625984092,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.92357787995741,5.62797454288707,2.12191681946707,1.89150264337945,0.397821691148419,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.97379841201504,5.76883164607774,2.20428215438055,1.85747906479543,0.349006439192586,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
3.92838919941592,5.642059109585,2.00832906384758,1.95458975467911,0.470563268539023,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.93106095267453,5.7800808642411,2.10546615677393,1.9861472633036,0.404213919208699,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
3.94274890890605,5.83586646549653,2.09555292758022,1.87229458199448,0.343686408983169,NA
3.99073617164592,5.74298410115391,2.19052623726698,1.88660026740856,0.42169105437653,NA
NA,NA,NA,NA,NA,NA
3.93823967408934,5.55181888701756,1.92995756168008,1.88309420492001,0.420985949261143,NA
NA,NA,NA,NA,NA,NA
3.93487581105833,5.74837641354923,2.0943166557025,1.91355524053907,0.423402337020501,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.83847176782574,5.73347490279306,2.04823650950743,1.83569952589592,0.335615555835519,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.02009123344043,5.62935928564843,2.17005922669915,1.89144648579102,0.419926394512338,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.02262093885744,5.65755893637747,2.08203707376053,1.91030695417711,0.415448136286385,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.05217443038024,5.7277197829283,2.09335491087849,1.88397304089807,0.383844159867742,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.0877777114584,5.5954948598534,2.02702144129719,1.91769299109718,0.429014469440672,NA
4.03765215647125,5.72269804109691,2.11271494418646,1.93046715663287,0.402668085722797,NA
3.98459062415575,5.75845623433189,2.07449188263738,1.90254265783451,0.38475735118092,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.00312950864806,5.79655595553859,2.10572198140528,1.90213376840521,0.427044661031823,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
3.79649132055279,5.77107255871554,2.14029807947139,1.84361443569427,0.317471293062414,NA
4.07322967952878,5.59495924478353,2.05759379474924,1.91103810193642,0.427016666534134,NA
3.8820991107534,5.68927438544827,2.08285294106698,1.93043701530758,0.444443397651687,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.04594130784301,5.74057537661075,2.16032148380155,1.90710665974502,0.404000733388405,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.04620217776359,5.76076298859529,2.08969134800589,1.911188438354,0.389858718294318,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.04447369667972,5.72784338720473,2.04612675540905,1.94427771371983,0.420779604859023,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.08244830932719,5.64340941186945,2.04065225422091,1.90497748848497,0.393328587113639,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.11204605313284,5.79330998225702,2.12547692648796,1.94811533608273,0.40351162912645,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
3.99105595127554,5.65044451934241,2.14168661038777,1.93594837143497,0.436555180154438,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.96385569038392,5.77768059293547,2.11979176587268,1.90165171717402,0.396457681237227,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.03880418331188,5.65720374520058,2.06832148126119,1.92261974909824,0.423126787891433,NA
4.0335099939448,5.70861206360717,2.0951352544894,1.89615773236629,0.423609774015913,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
4.0064840489192,5.63723185442933,2.0925802786072,1.89313263596287,0.402571933262358,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.62856810607235,6.46761395633036,2.40386649135305,1.73447812397778,0.107643494715519,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.00284306490259,5.70188899772509,2.04815167788443,1.88380291715684,0.393559655029341,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
4.03046153326789,5.67668219896232,2.13034988345572,1.88117344377077,0.393352974170517,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.03966998934164,5.58432024368787,2.09704324651858,1.90502154335018,0.42161229479723,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.88493326057082,5.67694592335329,2.12866129370634,1.93840667683552,0.425312881243759,NA
4.026822627506,5.75909946154908,2.15718907899669,1.97494105014142,0.443901643662626,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.97731510747124,5.82350560230922,2.18599020345345,1.88029228562659,0.38875477410563,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.10167151672354,5.6774780512306,2.01851308352629,1.89132605908985,0.421769129541133,NA
3.97045097164906,5.62725539429891,2.07284123674968,1.92042586638605,0.413726919424895,NA
3.99159709430814,5.61916278171709,2.10212100943366,1.91493813363811,0.424995659062787,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.0186223503191,5.61037357462664,2.07599813199983,1.89369673365295,0.406218356305825,NA
NA,NA,NA,NA,NA,NA
4.03756079962574,5.65936634184164,2.08571468945744,1.91193243123576,0.412892231059853,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.97277752288814,5.67182593306858,2.05386979535249,1.8891197280873,0.396937114968707,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.07266568147599,5.74282956817812,2.08316235318174,1.91845046967381,0.440788422019586,NA
4.03386383388179,5.7594998058059,2.07590509125285,1.8641193801565,0.372121912339434,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
4.05359594180127,5.65467488105959,2.11367950552567,1.89223080473733,0.441676202756887,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
4.00706368289879,5.71729719662542,2.09278649944975,1.84634560259812,0.403279139377161,NA
3.67757869535138,6.23895940789202,2.38164336211462,1.75693403852658,0.112145840940722,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
3.90269427424982,5.69907829034383,2.14607594383514,1.85928147737393,0.385094779568827,"variance-covariance matrix computed from finite-difference Hessian is
not positive definite or contains NA values: falling back to var-cov estimated from RX"
NA,NA,NA,NA,NA,NA
3.87754078783801,5.67425387979609,2.07078746827563,1.86341259200998,0.355933785454836,NA
NA,NA,NA,NA,NA,NA
